Artist (lyrics),Track,mp3/wav,Genre,Lyrics
Eminem,Rap God,Eminem - Rap God.mp3,"rap, hip hop, detroit hip hop","Look, I was gonna go easy on you not to hurt your feelings
But I'm only going to get this one chance (six minutes-, six minutes-)
Something's wrong, I can feel it (six minutes, Slim Shady, you're on!)
Just a feeling I've got, like something's about to happen, but I don't know what
If that means what I think it means, we're in trouble, big trouble
And if he is as bananas as you say, I'm not taking any chances
You are just what the doc ordered

I'm beginnin' to feel like a Rap God, Rap God
All my people from the front to the back nod, back nod
Now, who thinks their arms are long enough to slap box, slap box?
They said I rap like a robot, so call me Rap-bot

But for me to rap like a computer, it must be in my genes
I got a laptop in my back pocket
My pen'll go off when I half-cock it
Got a fat knot from that rap profit
Made a livin' and a killin' off it
Ever since Bill Clinton was still in office
With Monica Lewinsky feelin' on his nutsack
I'm an MC still as honest
But as rude and as indecent as all hell
Syllables, skill-a-holic (kill 'em all with)

This flippity dippity-hippity hip-hop
You don't really wanna get into a pissin' match
With this rappity brat, packin' a MAC in the back of the Ac'
Backpack rap crap, yap-yap, yackety-yack
And at the exact same time, I attempt these lyrical acrobat stunts while I'm practicin' that
I'll still be able to break a motherfuckin' table
Over the back of a couple of faggots and crack it in half

Only realized it was ironic, I was signed to Aftermath after the fact
How could I not blow? All I do is drop F-bombs
Feel my wrath of attack
Rappers are havin' a rough time period, here's a maxi pad
It's actually disastrously bad for the wack
While I'm masterfully constructing this masterpièce

'Cause I'm beginnin' to feel like a Rap God, Rap God
All my people from the front to the back nod, back nod
Now, who thinks their arms are long enough to slap box, slap box?
Let me show you maintainin' this shit ain't that hard, that hard
Everybody want the key and the secret to rap immortality like Ι have got

Well, to be truthful the blueprint's
Simply rage and youthful exuberance
Everybody loves to root for a nuisance
Hit the Earth like an asteroid
Did nothing but shoot for the Moon since (pew!)
MCs get taken to school with this music
'Cause I use it as a vehicle to ""Bus the rhyme""
Now I lead a new school full of students

Me? I'm a product of Rakim
Lakim Shabazz, 2Pac, N.W.A, Cube, hey Doc, Ren
Yella, Eazy, thank you, they got Slim
Inspired enough to one day grow up, blow up and be in a position
To meet Run-D.M.C., induct them
Into the motherfuckin' Rock and Roll Hall of Fame

Even though I'll walk in the church and burst in a ball of flames
Only Hall of Fame I'll be inducted in is the alcohol of fame
On the wall of shame
You fags think it's all a game, 'til I walk a flock of flames
Off a plank and, tell me what in the fuck are you thinkin'?

Little gay-lookin' boy
So gay, I can barely say it with a straight face, lookin' boy (ha-ha!)
You're witnessin' a mass-occur
Like you're watching a church gathering take place, lookin' boy
""Oy vey, that boy's gay!"" That's all they say, lookin' boy
You get a thumbs up, pat on the back
And a ""Way to go"" from your label every day, lookin' boy

Hey, lookin' boy! What you say, lookin' boy?
I get a ""Hell, yeah"" from Dre, lookin' boy
I'ma work for everything I have, never asked nobody for shit
Get outta my face, lookin' boy!
Basically, boy, you're never gonna be capable
Of keepin' up with the same pace, lookin' boy, 'cause-

I'm beginnin' to feel like a Rap God, Rap God
All my people from the front to the back nod, back nod
The way I'm racin' around the track, call me NASCAR, NASCAR
Dale Earnhardt of the trailer park, the White Trash God
Kneel before General Zod
This planet's Krypton-, no, Asgard, Asgard

So you'll be Thor and I'll be Odin
You rodent, I'm omnipotent
Let off, then I'm reloadin'
Immediately with these bombs I'm totin'
And I should not be woken
I'm the walkin' dead, but I'm just a talkin' head, a zombie floatin'
But I got your mom deep-throatin'

I'm out my Ramen Noodle
We have nothin' in common, poodle
I'm a Doberman, pinch yourself in the arm and pay homage, pupil
It's me, my honesty's brutal
But it's honestly futile if I don't utilize what I do though
For good at least once in a while
So I wanna make sure somewhere in this chicken scratch I scribble and doodle enough rhymes

To maybe try to help get some people through tough times
But I gotta keep a few punchlines
Just in case 'cause even you unsigned
Rappers are hungry lookin' at me like it's lunchtime
I know there was a time where once I
Was king of the underground
But I still rap like I'm on my Pharoahe Monch grind

So I crunch rhymes, but sometimes when you combine
Appeal with the skin color of mine
You get too big and here they come tryin'
To censor you like that one line
I said on ""I'm Back"" from The Mathers LP 1 when I
Tried to say I'll take seven kids from Columbine
Put 'em all in a line, add an AK-47, a revolver and a .9
See if I get away with it now that I ain't as big as I was, but I'm

Morphin' into an immortal, comin' through the portal
You're stuck in a time warp from 2004 though
And I don't know what the fuck that you rhyme for
You're pointless as Rapunzel with fuckin' cornrows
You write normal? Fuck being normal!
And I just bought a new raygun from the future

Just to come and shoot ya, like when Fabolous made Ray J mad
'Cause Fab said he looked like a fag at Mayweather's pad
Singin' to a man while he played piano
Man, oh man, that was a 24-7 special on the cable channel
So Ray J went straight to the radio station
The very next day, ""Hey Fab, I'ma kill you!""
Lyrics comin' at you at supersonic speed (J.J. Fad)

Uh, summa-lumma, dooma-lumma, you assumin' I'm a human
What I gotta do to get it through to you I'm superhuman?
Innovative and I'm made of rubber so that anything
You say is ricochetin' off of me, and it'll glue to you and
I'm devastating, more than ever demonstrating
How to give a motherfuckin' audience a feeling like it's levitating
Never fading, and I know the haters are forever waiting
For the day that they can say I fell off, they'll be celebrating

'Cause I know the way to get 'em motivated
I make elevating music, you make elevator music
""Oh, he's too mainstream""
Well, that's what they do when they get jealous, they confuse it
""It's not hip-hop, it's pop, "" 'cause I found a hella way to fuse it
With rock, shock rap with Doc
Throw on ""Lose Yourself"" and make 'em lose it

I don't know how to make songs like that
I don't know what words to use
Let me know when it occurs to you
While I'm rippin' any one of these verses that versus you
It's curtains, I'm inadvertently hurtin' you
How many verses I gotta murder to
Prove that if you were half as nice, your songs you could sacrifice virgins too?

Ugh, school flunky, pill junkie
But look at the accolades these skills brung me
Full of myself, but still hungry
I bully myself 'cause I make me do what I put my mind to
And I'm a million leagues above you

Ill when I speak in tongues, but it's still tongue-in-cheek, fuck you
I'm drunk, so, Satan, take the fucking wheel
I'ma sleep in the front seat
Bumpin' Heavy D and the Boyz, still ""Chunky but Funky""
But in my head, there's something I can feel tugging and struggling
Angels fight with devils and here's what they want from me

They're askin' me to eliminate some of the women hate
But if you take into consideration the bitter hatred
I have, then you may be a little patient
And more sympathetic to the situation
And understand the discrimination
But fuck it, life's handin' you lemons? Make lemonade then!
But if I can't batter the women
How the fuck am I supposed to bake them a cake then?

Don't mistake him for Satan; it's a fatal mistake
If you think I need to be overseas and take a vacation
To trip a broad, and make her fall on her face and
Don't be a retard, be a king? Think not
Why be a king when you can be a god?"
Plain White Ts,Hey There Delilah,Plain White T's - Hey There Delilah.mp3,"pop rock, pop punk, neo pop punk, neo mellow, modern rock","Hey there, Delilah
What's it like in New York city?
I'm a thousand miles away
But, girl, tonight you look so pretty
Yes, you do
Times Square can't shine as bright as you
I swear, it's true

Hey there, Delilah
Don't you worry about the distance
I'm right there if you get lonely
Give this song another listen
Close your eyes
Listen to my voice, it's my disguise
I'm by your side

Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
What you do to me

Hey there, Delilah
I know times are gettin' hard
But just believe me, girl
Someday I'll pay the bills with this guitar
We'll have it good
We'll have the life we knew we would
My word is good

Hey there, Delilah
I've got so much left to say
If every simple song I wrote to you
Would take your breath away
I'd write it all
Even more in love with me you'd fall
We'd have it all

Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me

A thousand miles seems pretty far
But they've got planes and trains and cars
I'd walk to you if I had no other way
Our friends would all make fun of us
And we'll just laugh along because we know
That none of them have felt this way
Delilah, I can promise you
That by the time we get through
The world will never ever be the same
And you're to blame

Hey there, Delilah
You be good, and don't you miss me
Two more years and you'll be done with school
And I'll be makin' history like I do
You'll know it's all because of you
We can do whatever we want to
Hey there, Delilah, here's to you
This one's for you

Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
What you do to me

Oh, whoa, whoa
Oh whoa, oh
Oh, oh"
Beyonce,Texas Hold ‘Em,Beyoncé - TEXAS HOLD 'EM.mp3,"r&b, pop","This ain't Texas (woo), ain't no hold 'em (hey)
So lay your cards down, down, down, down
So park your Lexus (woo) and throw your keys up (hey)
Stick around, 'round, 'round, 'round, 'round (stick around)
And I'll be damned if I can't slow dance with you
Come pour some sugar on me, honey too
It's a real life boogie and a real life hoedown
Don't be a bitch, come take it to the floor now, woo, huh (woo)

There's a tornado (there's a tornado) in my city (in my city)
Hit the basement (hit the basement), that shit ain't pretty (shit ain't pretty)
Rugged whiskey (rugged whiskey) 'cause we survivin' ('cause we survivin')
Off red cup kisses, sweet redemption, passin' time, yeah

Ooh, one step to the right
We headin' to the dive bar we always thought was nice
Ooh, run me to the left
Then spin me in the middle, boy, I can't read your mind

This ain't Texas (woo), ain't no hold 'em (hey)
So lay your cards down, down, down, down
So park your Lexus (woo) and throw your keys up (hey)
Stick around, 'round, 'round, 'round, 'round (stick around)
And I'll be damned if I can't slow dance with you
Come pour some sugar on me, honey too
It's a real life boogie and a real life hoedown
Don't be a bitch, come take it to the floor now (woo)

And I'll be damned if I cannot dance with you
Come pour some liquor on me, honey too
It's a real life boogie and a real life hoedown
Don't be a bitch, come take it to the floor now (woo)

Woo-hoo
Woo-hoo
Woo-hoo

There's a heatwave (there's a heatwave) coming at us (coming at us)
Too hot to think straight (too hot to think straight)
Too cold to panic (cold to panic)
All of the problems just feel dramatic (just feel dramatic)
And now we're runnin' to the first spot that we find, yeah

Ooh, one step to the right
We headin' to the dive bar we always thought was nice
Ooh, you run to the left
Just work me in the middle, boy, I can't read your mind

This ain't Texas (woo), ain't no hold 'em (hey)
So lay your cards down, down, down, down, oh
So park your Lexus (hey), throw your keys up (hey)
Stick around, 'round, 'round, 'round, 'round (stick around)
And I'll be damned if I cannot dance with you
Come pour some sugar on me, honey, too
It's a real life boogie and a real life hoedown
Don't be a bitch, come take it to the floor now (woo)

And I'll be damned if I cannot dance with you
Come pour some liquor on me honey, too
It's a real life boogie and a real life hoedown
Don't be a-, come take it to the floor now, ooh

Take it to the floor now, ooh
Hoops, spurs, boots
To the floor now, ooh
Tuck, back, oops (ooh, ooh, ooh)
Shoot
Come take it to the floor now, ooh
And I'll be damned if I cannot dance with you
Baby, pour that sugar and liquor on me too
Furs, spurs, boots
Solargenic, photogenic, shoot"
Dolly Parton,9 to 5,Dolly Parton - 9 To 5.mp3,"country dawn, country, classic country pop","[Verse 1]
Tumble out of bed and I stumble to the kitchen
Pour myself a cup of ambition
And yawn and stretch and try to come to life
Jump in the shower and the blood starts pumpin'
Out on the street, the traffic starts jumpin'
With folks like me on the job from nine to five

[Chorus]
Workin' nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
Nine to five, for service and devotion
You would think that I would deserve a fair promotion
Want to move ahead but the boss won't seem to let me
I swear sometimes that man is out to get me
Mmmm

[Verse 2]
They let you dream just to watch 'em shatter
You're just a step on the bossman's ladder
But you've got dreams he'll never take away
In the same boat with a lot of your friends
Waitin' for the day your ship'll come in
And the tide's gonna turn an' it's all gonna roll your way

[Chorus]
Working nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and you never get the credit
It's enough to drive you crazy if you let it
Nine to five, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet
Nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
Nine to five, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet"
The Chicks,Wide Open Spaces,The Chicks - Wide Open Spaces.mp3,"country dawn, country, contemporary country","[Verse 1]
Who doesn't know what I'm talkin' about
Who's never left home, who's never struck out
To find a dream and a life of their own
A place in the clouds, a foundation of stone

[Verse 2]
Many precede and many will follow
A young girl's dreams no longer hollow
It takes the shape of a place out west
But what it holds for her, she hasn't yet guessed

[Chorus]
She needs, wide open spaces
Room to make her big mistakes
She needs, new faces
She knows the high stakes

[Verse 3]
She traveled this road as a child
Wide-eyed and grinning, she never tired
But now she won't be coming back with the rest
If these are life's lessons, she'll take this test

[Chorus]
She needs, wide open spaces
Room to make her big mistakes
She needs, new faces
She knows the high stakes
She knows the high stakes

[Verse 1]
Who doesn't know what I'm talkin' about
Who's never left home, who's never struck out
To find a dream and a life of their own
A place in the clouds, a foundation of stone

[Verse 2]
Many precede and many will follow
A young girl's dreams no longer hollow
It takes the shape of a place out west
But what it holds for her, she hasn't yet guessed

[Chorus]
She needs, wide open spaces
Room to make her big mistakes
She needs, new faces
She knows the high stakes

[Verse 3]
She traveled this road as a child
Wide-eyed and grinning, she never tired
But now she won't be coming back with the rest
If these are life's lessons, she'll take this test

[Chorus]
She needs, wide open spaces
Room to make her big mistakes
She needs, new faces
She knows the high stakes
She knows the high stakes"
Taylor Swift,Stay Beautiful,Taylor Swift - Stay Beautiful.mp3,pop,"[Verse 1]
Cory's eyes are like a jungle
He smiles, it's like the radio
He whispers songs into my window
In words that nobody knows
There's pretty girls on every corner
They watch him as he's walking home
Saying, ""Does he know?""
Will you ever know?

[Chorus]
You're beautiful, every little piece, love
Don't you know you're really gonna be someone?
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my door
Oh, but if it don't
Stay beautiful

[Verse 2]
Cory finds another way to be
The highlight of my day
I'm taking pictures in my mind
So I can save 'em for a rainy day
It's hard to make a conversation
When he's taking my breath away
I should say, ""Hey, by the way""

[Chorus]
You're beautiful, every little piece, love
Don't you know you're really gonna be someone?
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my door
Oh, but if it don't
Stay beautiful

[Bridge]
If you and I are a story
That never gets told
If what you are is a daydream
I'll never get to hold, at least you'll know

[Chorus]
You're beautiful, every little piece, love
Don't you know you're really gonna be someone?
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my front door
Oh, but if it don't
Will you stay beautiful, beautiful, beautiful?
Beautiful, beautiful, beautiful

[Outro]
La-la-la
Oh-oh-oh
Oh-oh-oh-oh
Oh, but if it don't
Stay beautiful, stay beautiful
Na-na-na, na-na"
Tanhai Collective,Ode Two,Ode Two - Tanhai Collective.mp3,"jazz,jazz,fusion,new jazz,improvisation,nu-jazz,uk,jazz,London",[Instrumental]
Galt MacDermot,Coffee Cold,Galt MacDermot – Coffee Cold.mp3,jazz (no spotify genre),[Instrumental]
Kokolo,Soul Power - Lack of Afro Remix,Kokolo – Soul Power (Lack of Afro Remix).mp3,"afrobeat, bboy, british soul, brass band, instrumental funk",[instrumental]
Orgone,Open Season,Orgone - Open Season.mp3DB%20-%20songs%2068e5e0294c7144f684f24736db3d0a4d/Orgone_-_Open_Season.mp3,"modern funk, instrumental funk, brass band, afrobeat",[instrumental]
Eliza Rose,B.O.T.A.,Eliza Rose & Interplanetary Criminal - B.O.T.A. (Baddest Of Them All).mp3,"house, breaks, experimental house","She's the baddest of them all
The baddest of them all
She's the baddest of them all
The baddest of them all
She's the baddest of them all
The baddest of them all
She's the baddest of them all
The baddest of them all

Do you wanna dance, baby?
I know you see me lookin' at you on the daily
Ooh, I'm in a trance lately
I need something to wake me up, something to faze me
Do you wanna dance, baby?
I know you see me lookin' at you on the daily
Ooh, I'm in a trance lately
I need something to wake me up, something to faze me

She's the baddest of them all
The baddest of them all
She's the baddest of them all
The baddest of them all
She's the baddest of them all
The baddest of them all
She's the baddest of them all
The baddest of them all

Do you wanna dance, baby?
I know you see me lookin' at you on the daily
Ooh, I'm in a trance lately
I need something to wake me up, something to faze me
Do you wanna kiss, maybe?
I know I seen you lookin' at me, wanna date me?
Ooh, I feel my knees start shaking
Everything you do, it just seems to amaze me

I need something to faze me
I need something to faze me
Are you that one, baby?
'Cause you really amaze me

Do you wanna dance, baby?
I know you see me lookin' at you on the daily
Ooh, I'm in a trance lately
I need something to wake me up, something to faze me
Do you wanna kiss, maybe?
I know I seen you lookin' at me, wanna date me?
Ooh, I feel my knees start shaking
Everything you do, it just seems to amaze me"
Barrington Levi,Black Roses,Black Roses.mp3,"reggae, roots reggae, reggae fusion","In my garden
Black, black roses in my garden

To keep and care it you got to water it
To keep and care it you got to water it
I've been travelin' all over this world
I've never seen no other black rose in no other garden
So you see my garden is so special

Black, black roses in my garden
Black, black roses in my garden
Black, black roses in my garden
Black, black roses in my garden

To keep and care it you got to water it
Got to keep the earth so cool
'Cause something special is in my garden

Black, black roses in my garden hey eh
Black, black roses in my garden
Black, black roses in my garden
Black, black roses in my garden

Sure you got to water it, water it
You got to do the best you can do
'Cause no other garden is so special like this
Black roses is in my garden

Black, black roses I've got to water it
My garden is so nice oh hey oh hey
Something special special in my garden
Black, black roses in my garden

Sure, sure, sure I've got to stay
And take good care of the roses
Go to see, go to see that's so special to me
My garden, my garden is so special yeah
Black, black roses is blooming in my garden"
Toots and the Maytals,54-56 Was My Number,The Maytals - 54 46 Was My Number.mp3,"reggae, ska, roots reggae","Stick it up, mister!
Hear what I say sir, yeah yeah
Get your hands in the air, sir!
Then you will get no hurt, mister, no no no

I said yeah (I said yeah)
What they say (listen what they say)
Don't you hear? I say, yeah (yeah yeah)
Listen what they say (listen what they say)

Do you believe I would take such a thing with me
And give it to a police man?
I wouldn't do that (ooh, ooh)
And if I do that, I would say ""Sir
Come on and put the charge on me""
I wouldn't do that, no (ooh, ooh)
I wouldn't do that (ooh, ooh)

I'm not a fool to hurt myself
So I was innocent of what they done to me
They was wrong
They were wrong (ooh, ooh)

Give it to me one time (huh)
Give it to me two times (huh-huh)
Give it to me three times (huh-huh-huh)
Give it to me four times (huh-huh-huh-huh)

54-46 was my number
Right now, someone else has that number
54-46 was my number, was my number
Right now, someone else has that number

I said yeah (I said yeah)
Listen what they say (listen what they say)
Oh I say hear me now (yeah yeah)
Listen what they say (listen what they say)

Give it to me one time (huh)
Give it to me two times (huh-huh)
Gimme, gimme, gimme, gimme, gimme, gimme
Gimme, gimme, gimme, gimme
No, no, no, no"
Metallica,Enter Sandman,Metallica - Enter Sandman.mp3,"rock, hard rock, metal, old school thrash, thrash metal","Say your prayers, little one
Don't forget, my son
To include everyone
I tuck you in, warm within
Keep you free from sin
'Til the sandman, he comes

Sleep with one eye open
Gripping your pillow tight

Exit light
Enter night
Take my hand
We're off to never-never land

Something's wrong, shut the light
Heavy thoughts tonight
And they aren't of Snow White
Dreams of war, dreams of liars
Dreams of dragon's fire
And of things that will bite, yeah

Sleep with one eye open
Gripping your pillow tight

Exit light
Enter night
Take my hand
We're off to never-never land, yeah

Now I lay me down to sleep (now I lay me down to sleep)
Pray the Lord my soul to keep (pray the Lord my soul to keep)
If I die before I wake (if I die before I wake)
Pray the Lord my soul to take (pray the Lord my soul to take)
Hush, little baby, don't say a word
And never mind that noise you heard
It's just the beasts under your bed
In your closet, in your head

Exit light
Enter night
Grain of sand
Exit light
Enter night
Take my hand
We're off to never-never land, yeah

Boo!
Yeah-yeah
Yo, whoa

We're off to never-never land
Take my hand
We're off to never-never land
Take my hand
We're off to never-never land
We're off to never-never land
We're off to never-never land
We're off to never-never land"
Metallica,Master of Puppets,Metallica - Master of Puppets.mp3,"rock, hard rock, metal, old school thrash, thrash metal","[Verse 1]
End of passion play, crumbling away
I'm your source of self-destruction
Veins that pump with fear, sucking darkest clear
Leading on your death's construction

[Refrain]
Taste me, you will see
More is all you need
Dedicated to
How I'm killing you

[Pre-Chorus]
Come crawling faster (Faster)
Obey your master (Master)
Your life burns faster (Faster)
Obey your

[Chorus]
Master, master
Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master

[Verse 2]
Needlework the way, never you betray
Life of death becoming clearer
Pain monopoly, ritual misery
Chop your breakfast on a mirror

[Refrain]
Taste me, you will see
More is all you need
Dedicated to
How I'm killing you

[Pre-Chorus]
Come crawling faster (Faster)
Obey your master (Master)
Your life burns faster (Faster)
Obey your

[Chorus]
Master, master
Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master

[Post-Chorus]
(Master, master, master, master)

[Instrumental Bridge]

[Bridge]
Master, master
Where's the dreams that I've been after?
Master, master
You promised only lies
Laughter, laughter
All I hear or see is laughter
Laughter, laughter
Laughing at my cries
Fix me

[Guitar Solo]

[Verse 3]
Hell is worth all that, natural habitat
Just a rhyme without a reason
Never-ending maze, drift on numbered days
Now your life is out of season

[Refrain]
I will occupy
I will help you die
I will run through you
Now I rule you too

[Pre-Chorus]
Come crawling faster (Faster)
Obey your master (Master)
Your life burns faster (Faster)
Obey your

[Chorus]
Master, master
Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master

[Laughter]"
Ajmw,Count My Blessings,AJMW - Count My Blessings.mp3,"lo-fi beats, chillhop",[instrumental]
Saib,Agua,Saib - Agua.mp3,"lo-fi beats, japanese chillhop, chillhop","verse
Eu quis amar mas tive medo
E quis salvar meu coração
Mas o amor sabe um segredo
O medo pode matar o seu coração
verse
Água de beber
Água de beber camará
Água de beber
Água de beber camará
Água de beber
Água de beber camará
outro
Eu quis amar mas tive medo
E quis salvar meu coração"
The Meters,Cissy Strut,THE METERS - Cissy Strut.mp3,"soul, p funk, new orleans funk, jazz funk, instrumental soul, funk",[Instrumental]
Rufus and Chaka Khan,Tell Me Something Good,Chaka Khan and Rufus - Tell me something Good.mp3,"funk, soul, quiet storm, neo soul, disco","You ain't got no kind of feeling inside
I got something that'll sho' 'nuff set your stuff on fire
You refuse to put anything before your pride
What I got will knock all your pride aside

Tell me something good
Tell me that you love me, yeah
Tell me something good
Tell me that you like it, yeah

Got no time is what you're known to say
(Got no time, no, got no time)
I'll make you wish there was 48 hours to each day
Your problem is you ain't been loved like you should
But what I got to give will sho' 'nuff do you good

Tell me something good
(Tell me, tell me, tell me)
Tell me that you love me, yeah
Tell me something good
(Tell me, tell me, tell me)
Tell me that you like it, yeah

You ain't got no kind of feeling inside
I got something that'll sho' 'nuff set your stuff on fire
You refuse to put anything before your pride
What I got will knock your pride aside

Tell me something good (oh, yeah, yeah)
Tell me that you love me, yeah
Tell me something good
(Oh, baby, baby, baby, yeah)
Tell me that you like it, yeah (you got to)

Tell me something good
(Oh, oh, tell me, baby, tell me)
Tell me that you love me, yeah, yeah
Yeah, yeah, yeah

Tell me something good
(Oh, tell me, tell me, tell me)
Tell me that you like it, yeah, yeah
(Don't you like it baby?)
Tell me something good"